x,y,z,cplx,cply,cplz,cprx,cpry,cprz
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6294293999671936,0.7892796993255615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.38169065117836,1.6722959280014038,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.9889508485794067,0.9578285217285156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.65193510055542,-1.2771034240722656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.9542266130447388,-4.180739879608154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.776573657989502,-4.735679626464844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.539822578430176,-1.7976337858272018e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.035435199737549,6.314237594604492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.717611312866211,7.525330066680908,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6.629836082458496,3.1927616596221924,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-7.292819499969482,-3.512037515640259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.2901484966278076,-10.033774375915527,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.18258285522461,-10.260636329650879,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.079645156860352,3.5952675716544036e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.441457748413086,11.839181900024414,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-3.053513288497925,13.37837028503418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.270718574523926,5.427700042724609,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.93370532989502,-5.746971130371094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-3.6260826587677,-15.88680648803711,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.588571548461914,-15.785606384277344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
