x,y,z,cplx,cply,cplz,cprx,cpry,cprz,pointID,frameID,curveID,maxPts
-6.995623588562012,0.0,0.0,-6.995623588562012,-3.8624606132507324,0.0,-6.995623588562012,3.8624606132507324,0.0,0,1,0,4
0.0,6.995623588562012,0.0,-3.8624606132507324,6.995623588562012,0.0,3.8624606132507324,6.995623588562012,0.0,1,1,0,4
6.995623588562012,0.0,0.0,6.995623588562012,3.8624606132507324,0.0,6.995623588562012,-3.8624606132507324,0.0,2,1,0,4
0.0,-6.995623588562012,0.0,3.8624606132507324,-6.995623588562012,0.0,-3.8624606132507324,-6.995623588562012,0.0,3,1,0,4
-6.9940900802612305,-1.1976345604125527e-06,-5.3293564006295924e-11,-6.995623588562012,-3.8624606132507324,0.0,-6.993288516998291,3.8622071743011475,5.3293564006295924e-11,0,2,0,4
0.0,6.995623588562012,0.0,-3.8624606132507324,6.995623588562012,0.0,3.8624606132507324,6.995623588562012,0.0,1,2,0,4
6.995623588562012,0.0,0.0,6.995623588562012,3.8624606132507324,0.0,6.995623588562012,-3.8624606132507324,0.0,2,2,0,4
0.0,-6.995623588562012,0.0,3.8624606132507324,-6.995623588562012,0.0,-3.8624606132507324,-6.995623588562012,0.0,3,2,0,4
-6.989478588104248,-4.798667305294657e-06,-2.1353596668660657e-10,-6.995623588562012,-3.8624606132507324,0.0,-6.986268043518066,3.8614449501037598,2.1353596668660657e-10,0,3,0,4
0.0,6.995623588562012,0.0,-3.8624606132507324,6.995623588562012,0.0,3.8624606132507324,6.995623588562012,0.0,1,3,0,4
6.995623588562012,0.0,0.0,6.995623588562012,3.8624606132507324,0.0,6.995623588562012,-3.8624606132507324,0.0,2,3,0,4
0.0,-6.995623588562012,0.0,3.8624606132507324,-6.995623588562012,0.0,-3.8624606132507324,-6.995623588562012,0.0,3,3,0,4
-6.981775283813477,-1.0814411325554829e-05,-4.812307219381751e-10,-6.995623588562012,-3.8624606132507324,0.0,-6.974539279937744,3.8601717948913574,4.812307219381751e-10,0,4,0,4
0.0,6.995623588562012,0.0,-3.8624606132507324,6.995623588562012,0.0,3.8624606132507324,6.995623588562012,0.0,1,4,0,4
6.995623588562012,0.0,0.0,6.995623588562012,3.8624606132507324,0.0,6.995623588562012,-3.8624606132507324,0.0,2,4,0,4
0.0,-6.995623588562012,0.0,3.8624606132507324,-6.995623588562012,0.0,-3.8624606132507324,-6.995623588562012,0.0,3,4,0,4
-6.970966815948486,-1.9254932340118103e-05,-8.568256104624083e-10,-6.995623588562012,-3.8624606132507324,0.0,-6.958083629608154,3.8583855628967285,8.568256104624083e-10,0,5,0,4
0.0,6.995623588562012,0.0,-3.8624606132507324,6.995623588562012,0.0,3.8624606132507324,6.995623588562012,0.0,1,5,0,4
6.995623588562012,0.0,0.0,6.995623588562012,3.8624606132507324,0.0,6.995623588562012,-3.8624606132507324,0.0,2,5,0,4
0.0,-6.995623588562012,0.0,3.8624606132507324,-6.995623588562012,0.0,-3.8624606132507324,-6.995623588562012,0.0,3,5,0,4
-6.957042217254639,-3.012896195286885e-05,-1.3407092103179252e-09,-6.995623588562012,-3.8624606132507324,0.0,-6.936882972717285,3.856084108352661,1.3407092103179252e-09,0,6,0,4
0.0,6.995623588562012,0.0,-3.8624606132507324,6.995623588562012,0.0,3.8624606132507324,6.995623588562012,0.0,1,6,0,4
6.995623588562012,0.0,0.0,6.995623588562012,3.8624606132507324,0.0,6.995623588562012,-3.8624606132507324,0.0,2,6,0,4
0.0,-6.995623588562012,0.0,3.8624606132507324,-6.995623588562012,0.0,-3.8624606132507324,-6.995623588562012,0.0,3,6,0,4
-6.939991474151611,-4.344378976384178e-05,-1.9332060396948236e-09,-6.995623588562012,-3.8624606132507324,0.0,-6.910923957824707,3.853266477584839,1.9332060396948236e-09,0,7,0,4
0.0,6.995623588562012,0.0,-3.8624606132507324,6.995623588562012,0.0,3.8624606132507324,6.995623588562012,0.0,1,7,0,4
6.995623588562012,0.0,0.0,6.995623588562012,3.8624606132507324,0.0,6.995623588562012,-3.8624606132507324,0.0,2,7,0,4
0.0,-6.995623588562012,0.0,3.8624606132507324,-6.995623588562012,0.0,-3.8624606132507324,-6.995623588562012,0.0,3,7,0,4
-6.919808387756348,-5.9205158322583884e-05,-2.6345712278441624e-09,-6.995623588562012,-3.8624606132507324,0.0,-6.880195140838623,3.84993052482605,2.6345712278441624e-09,0,8,0,4
0.0,6.995623588562012,0.0,-3.8624606132507324,6.995623588562012,0.0,3.8624606132507324,6.995623588562012,0.0,1,8,0,4
6.995623588562012,0.0,0.0,6.995623588562012,3.8624606132507324,0.0,6.995623588562012,-3.8624606132507324,0.0,2,8,0,4
0.0,-6.995623588562012,0.0,3.8624606132507324,-6.995623588562012,0.0,-3.8624606132507324,-6.995623588562012,0.0,3,8,0,4
